Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2872018260,ARIBEV - 69483,0,-,138352936244,480x320 - visuel 2,480 x 320,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,46,2,0.0435
2872018260,ARIBEV - 69483,0,-,138352936277,1024x768 - visuel 3,1024 x 768,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,22,2,0.0909
2872018260,ARIBEV - 69483,0,-,138352936319,768x1024 - visuel 4,768 x 1024,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,79,11,0.1392
2872018260,ARIBEV - 69483,0,-,138352937225,320x480 - visuel 1,320 x 480,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,820,37,0.0451
2872018260,ARIBEV - 69483,0,-,138352937228,1024x768 - visuel 1,1024 x 768,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,14,1,0.0714
2872018260,ARIBEV - 69483,0,-,138352937231,480x320 - visuel 1,480 x 320,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,25,0,0.0000
2872018260,ARIBEV - 69483,0,-,138352938002,1024x768 - visuel 4,1024 x 768,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,9,0,0.0000
2872018260,ARIBEV - 69483,0,-,138352938542,768x1024 - visuel 3,768 x 1024,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,49,6,0.1224
2872018260,ARIBEV - 69483,0,-,138352959459,768x1024 - visuel 1,768 x 1024,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,16,1,0.0625
2872018260,ARIBEV - 69483,0,-,138352959690,480x320 - visuel 3,480 x 320,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,27,0,0.0000
2872018260,ARIBEV - 69483,0,-,138352959861,1024x768 - visuel 2,1024 x 768,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,6,0,0.0000
2872018260,ARIBEV - 69483,0,-,138353301601,480x320 - visuel 4,480 x 320,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,33,0,0.0000
2872018260,ARIBEV - 69483,0,-,138353301964,320x480 - visuel 2,320 x 480,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,677,28,0.0414
2872018260,ARIBEV - 69483,0,-,138353302006,320x480 - visuel 3,320 x 480,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,1285,50,0.0389
2872018260,ARIBEV - 69483,0,-,138353302111,320x480 - visuel 4,320 x 480,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,5057,209,0.0413
2872018260,ARIBEV - 69483,0,-,138353302357,768x1024 - visuel 2,768 x 1024,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,17,2,0.1176
2872018260,ARIBEV - 69483,0,-,138353302357,320 x 50 - visuel 2,320 x 50,2021-06-16T12:31:00+04:00,2021-06-22T23:59:00+04:00,17,2,0.1176


