Dimension.ADVERTISER_NAME,Dimension.ORDER_NAME,Dimension.DATE,Dimension.CREATIVE_TYPE,Dimension.ADVERTISER_ID,Dimension.ORDER_ID,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,DimensionAttribute.ORDER_LIFETIME_IMPRESSIONS,DimensionAttribute.ORDER_LIFETIME_CLICKS,Column.TOTAL_LINE_ITEM_LEVEL_IMPRESSIONS,Column.TOTAL_LINE_ITEM_LEVEL_CLICKS,Column.TOTAL_LINE_ITEM_LEVEL_CTR,Column.VIDEO_VIEWERSHIP_COMPLETE
ARP,CANAL CBOX - 70063,2021-08-29,Image,48555532,2877877606,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,5712,202,95,3,0.0316,-
CIRRUS,CIRRUS AUTORELAIS - 66788 VAGUE 4,2021-08-29,Image,5050251329,2897621656,2021-08-27T00:00:00+04:00,2021-08-31T23:59:00+04:00,5783,277,1658,74,0.0446,-
DIMOMIX,NESPRESSO BTS 2021 - 70375,2021-08-29,Image,5055478763,2893408687,2021-08-23T00:00:00+04:00,2021-08-29T23:59:00+04:00,4804,191,587,21,0.0358,-
CAILLE GRANDE DISTRIBUTION,LEADER PRICE OP 17 - 70663,2021-08-29,Image,5056777907,2895370071,2021-08-24T00:00:00+04:00,2021-09-04T23:59:00+04:00,5861,226,897,38,0.0424,-
