Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2886795303,SFR CAMPAGNE FIXE - 70231,0,-,138358159556,RTE,320 x 480,2021-08-05T00:00:00+04:00,2021-08-18T23:59:00+04:00,30484,1419,0.0465
2886795303,SFR CAMPAGNE FIXE - 70231,0,-,138358159652,SQD,1024 x 768,2021-08-05T00:00:00+04:00,2021-08-18T23:59:00+04:00,130,4,0.0308
2886795303,SFR CAMPAGNE FIXE - 70231,0,-,138358159727,DSSSS,768 x 1024,2021-08-05T00:00:00+04:00,2021-08-18T23:59:00+04:00,775,57,0.0735
2886795303,SFR CAMPAGNE FIXE - 70231,0,-,138358222935,FD,480 x 320,2021-08-05T00:00:00+04:00,2021-08-18T23:59:00+04:00,212,8,0.0377
