Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2902958788,LES BRULERIES DE LA FOURNAISE - 71516,0,-,138362426450,480x320,480 x 320,2021-09-08T09:14:00+04:00,2021-09-17T23:59:00+04:00,98,2,0.0204
2902958788,LES BRULERIES DE LA FOURNAISE - 71516,0,-,138362426456,320x480,320 x 480,2021-09-08T09:14:00+04:00,2021-09-17T23:59:00+04:00,11514,417,0.0362
2902958788,LES BRULERIES DE LA FOURNAISE - 71516,0,-,138362426462,768x1024,768 x 1024,2021-09-08T09:14:00+04:00,2021-09-17T23:59:00+04:00,278,19,0.0683
2902958788,LES BRULERIES DE LA FOURNAISE - 71516,0,-,138362426471,1024x768,1024 x 768,2021-09-08T09:14:00+04:00,2021-09-17T23:59:00+04:00,29,3,0.1034
