Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2888759205,ZEOP - 70349,0,-,138358639649,480x320,480 x 320,2021-08-09T00:00:00+04:00,2021-08-20T06:03:00+04:00,81,3,0.0370
2888759205,ZEOP - 70349,0,-,138358640801,728x1024,768 x 1024,2021-08-09T00:00:00+04:00,2021-08-20T06:03:00+04:00,256,13,0.0508
2888759205,ZEOP - 70349,0,-,138358644092,320x480,320 x 480,2021-08-09T00:00:00+04:00,2021-08-20T06:03:00+04:00,10164,406,0.0399
2888759205,ZEOP - 70349,0,-,138358646309,1024x768,1024 x 768,2021-08-09T00:00:00+04:00,2021-08-20T06:03:00+04:00,34,2,0.0588
