Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2873458061,BMW - DARK SHADOW - 69621,0,-,138353554158,768x1024,768 x 1024,2021-06-30T00:00:00+04:00,2021-07-07T23:59:00+04:00,345,30,0.0870
2873458061,BMW - DARK SHADOW - 69621,0,-,138353554161,320x480,320 x 480,2021-06-30T00:00:00+04:00,2021-07-07T23:59:00+04:00,14461,577,0.0399
2873458061,BMW - DARK SHADOW - 69621,0,-,138353554164,1024x768,1024 x 768,2021-06-30T00:00:00+04:00,2021-07-07T23:59:00+04:00,70,4,0.0571
2873458061,BMW - DARK SHADOW - 69621,0,-,138353554167,480x320,480 x 320,2021-06-30T00:00:00+04:00,2021-07-07T23:59:00+04:00,156,1,0.0064
