Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2888513479,CIVIS - 70628,0,-,138358759194,480x320,480 x 320,2021-08-09T00:00:00+04:00,2021-08-11T23:59:00+04:00,40,3,0.0750
2888513479,CIVIS - 70628,0,-,138358760082,320x480,320 x 480,2021-08-09T00:00:00+04:00,2021-08-11T23:59:00+04:00,4902,284,0.0579
2888513479,CIVIS - 70628,0,-,138359085928,768x1024,768 x 1024,2021-08-09T00:00:00+04:00,2021-08-11T23:59:00+04:00,147,10,0.0680
2888513479,CIVIS - 70628,0,-,138359086054,1024x768,1024 x 768,2021-08-09T00:00:00+04:00,2021-08-11T23:59:00+04:00,16,0,0.0000
