Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2893408687,NESPRESSO BTS 2021 - 70375,0,-,138359550698,768x1024,768 x 1024,2021-08-23T00:00:00+04:00,2021-08-29T23:59:00+04:00,108,7,0.0648
2893408687,NESPRESSO BTS 2021 - 70375,0,-,138359681292,1024x768,1024 x 768,2021-08-23T00:00:00+04:00,2021-08-29T23:59:00+04:00,16,2,0.1250
2893408687,NESPRESSO BTS 2021 - 70375,0,-,138359681742,480x320,480 x 320,2021-08-23T00:00:00+04:00,2021-08-29T23:59:00+04:00,31,2,0.0645
2893408687,NESPRESSO BTS 2021 - 70375,0,-,138359681955,320x480,320 x 480,2021-08-23T00:00:00+04:00,2021-08-29T23:59:00+04:00,4649,180,0.0387
