Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2870677843,SFR SELECTION MOBILES A 1€ - 69439,0,-,138352698111,1,1024 x 768,2021-06-30T00:00:00+04:00,2021-07-06T23:59:00+04:00,30,4,0.1333
2870677843,SFR SELECTION MOBILES A 1€ - 69439,0,-,138352698186,2,480 x 320,2021-06-30T00:00:00+04:00,2021-07-06T23:59:00+04:00,76,2,0.0263
2870677843,SFR SELECTION MOBILES A 1€ - 69439,0,-,138352698453,3,320 x 480,2021-06-30T00:00:00+04:00,2021-07-06T23:59:00+04:00,7985,330,0.0413
2870677843,SFR SELECTION MOBILES A 1€ - 69439,0,-,138352698474,4,768 x 1024,2021-06-30T00:00:00+04:00,2021-07-06T23:59:00+04:00,202,23,0.1139
