Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2939840280,LEAL IX ELECTRIQUE - 73576,0,-,138371864852,768x1024,768 x 1024,2021-11-19T00:00:00+04:00,2021-11-30T23:59:00+04:00,119,6,0.0504
2939840280,LEAL IX ELECTRIQUE - 73576,0,-,138372336190,320x480,320 x 480,2021-11-19T00:00:00+04:00,2021-11-30T23:59:00+04:00,4545,209,0.0460
2939840280,LEAL IX ELECTRIQUE - 73576,0,-,138372336691,480x320,480 x 320,2021-11-19T00:00:00+04:00,2021-11-30T23:59:00+04:00,47,1,0.0213
2939840280,LEAL IX ELECTRIQUE - 73576,0,-,138372336880,1024x768,1024 x 768,2021-11-19T00:00:00+04:00,2021-11-30T23:59:00+04:00,21,0,0.0000
